,user_id,created_at,ip,QID11_TEXT_translated
15,582249852,2024-04-02 22:20:09.393769,194.62.139.22,I want to start creating a clothing brand
16,431196148,2024-04-01 04:52:48.543744,95.67.83.140,"I love my work, I express myself in it, I can create"
17,483473935,2024-04-05 07:00:15.046047,0.0.0.0,I'm looking for myself now. I work part-time as a barista in order to move in with my girlfriend and somehow live and develop
18,905593085,2024-04-17 06:19:29.679692,46.175.248.152,"I take my work very seriously, I am afraid of losing it because of the war"
19,533488179,2024-04-12 23:22:10.854427,50.43.106.219,I am purposeful and kind. I love when everything goes as it should. I love dogs and cats.
20,540508388,2024-03-20 20:48:14.532710,46.33.39.225,"Sociable, cheerful, very responsible towards my duties."
21,562168737,2024-03-07 15:19:23.492540,0.0.0.0,
22,1298315795,2024-04-15 07:56:54.734440,5.253.206.37,"Highly confidential information. Nowadays, it is a bit dangerous to give someone more information than you know about yourself."
23,1378012457,2024-02-27 09:03:27.216505,0.0.0.0,
24,499507064,2024-04-16 07:54:35.750336,45.89.90.191,"Purposeful, I like to learn something new, get an education. I like structure and order."
26,768119218,2024-04-10 06:05:46.149474,46.118.100.165,"I am interested in everything new, I am very responsible for any work. I try to do everything I undertake with high quality. I also have a hobby, making jewelry."
27,433217892,2024-04-11 10:03:59.484310,45.89.90.241,"I like to spread data, monotonous work with data and numbers."
28,1159715309,2024-03-05 19:07:36.726173,185.143.146.175,"I'm curious, like reading, I've got a cat and I dance tango as a hobby"
29,452876673,2024-04-16 22:47:36.674605,188.163.96.173,"Sports, psychology"
30,5759950628,2024-03-25 15:00:18.815691,188.163.20.15,"I am a projective person with positive thinking and a realistic-optimistic outlook on life. I love my job, because it allows me to stay in shape and influence the quality of life of the future generation. I like to read, learn new things. Now I'm studying numerology and dietetics"
31,5684764979,2024-04-17 06:19:36.473305,46.119.165.11,"Responsible, sincerely devoted to family and children"
32,620481751,2024-03-07 14:21:12.529510,88.155.143.203,"Discreet, but sociable, I love creative work, and I always have the inspiration to do something with my own hands"
33,684098672,2024-04-10 17:48:20.561686,213.111.85.235,"I want to change the type of activity, because unfortunately it is not well paid"
34,432153369,2024-04-12 20:19:49.823186,109.251.20.46,"I like to travel, at the moment I am also actively involved in volunteering in my country."
35,853872563,2024-04-15 08:00:21.171242,176.105.33.247,"I am a person who is confused and it is time to see a psychotherapist, but for now I am getting out thanks to studies (which I undoubtedly love, although it is difficult), books, TV shows and delicious food. And since silpo promised me a pizza for this survey, here I am ;)"
36,1160102453,2024-03-09 17:56:21.644686,88.155.194.147,"Self-improvement, cryptocurrencies, business"
37,621666343,2024-03-07 15:19:35.070012,188.163.96.157,Student
38,6481726318,2024-04-16 23:04:27.260415,0.0.0.0,
39,530402636,2024-04-16 08:27:22.594856,178.133.201.79,Hobby tennis
40,650290389,2024-04-04 16:19:49.870437,91.200.52.47,"Looking for a job, I want to become a manicurist or eyelash extension specialist"
41,318714469,2024-04-10 07:22:18.808501,46.211.99.177,"My personality is unique with its own characteristics and approaches to life and work. I can be energetic and creative, focused on results, or analytical and restrained in my actions, if necessary. The attitude to work can vary from a systematic approach to a flexible and creative one. I can enjoy solving complex problems, communicating with people or the creative process, depending on the mood and the task at hand."
42,6887746094,2024-04-17 03:50:02.470831,185.177.189.249,I love polls
43,599418806,2024-04-10 17:15:22.476910,185.70.17.205,A happy person who loves his job
44,7069389795,2024-04-17 06:31:48.146615,111.90.148.35,"I love doing my own thing. Besides this, I have different hobbies. I'm always learning something new. I am a seamstress by training, I sew things to order."
45,522265559,2024-04-10 17:57:19.275149,37.57.176.243,Horoscope Pisces
46,547096915,2024-04-12 04:20:47.908284,78.137.17.84,"Closed, ambitious, tired, dreams of being an artist"
47,721001493,2024-04-12 09:09:32.963929,188.163.114.123,I don't really like to work
48,1180726046,2024-01-14 06:17:25.792501,0.0.0.0,
49,1184370926,2024-02-29 11:34:15.275083,78.26.151.115,An ordinary person who loves to cook
50,578963536,2024-03-19 17:42:17.272848,185.4.43.17,I like to dance and cook delicious food
51,502048355,2024-04-16 08:30:22.034065,2a02:2378:1190:46b1:c055:719a:7e2a:cf1a,"I like music, books"
52,516413533,2024-04-03 10:53:06.927571,193.148.88.74,I like to have a good time
53,538321133,2024-03-18 11:36:05.729609,37.55.220.182,Like walking and photography
54,147672438,2024-03-18 11:50:35.027060,46.150.69.27,A calm self-sufficient person
55,374728311,2024-04-11 10:16:04.775589,89.209.0.140,"Honesty, justice. Favorite activities: reading books, sports, walking, knitting, visiting the pool, studying psychology, eating right"
56,465725420,2024-04-10 07:26:48.006190,194.39.226.147,I love active recreation and my cat
57,469739446,2024-04-03 21:27:22.835991,194.62.139.118,"I really like creativity and doing something with my own hands. Now I am learning sewing. I read a lot of books about human psychology. I love coffee and people. I also love animals. Sometimes I do volunteer work. In the future, I want to open my own coffee shop. I am very scared that artificial intelligence is already among us, but I would like to fall asleep somewhere in 200 years and wake up in the future 😁"
58,500841916,2024-03-19 17:57:23.199700,77.120.134.55,"I love my family, my cat and my flowers."
59,304150919,2024-03-18 11:43:49.213027,178.133.145.98,"Accountant, I love speed, accuracy, correctness, legality"
60,622050633,2024-03-28 20:08:58.024477,159.224.180.88,Responsible
61,622300969,2024-03-09 23:43:30.540161,178.151.223.14,"I like to communicate with people, to help whenever possible. I like honest and open people."
62,377541333,2024-04-12 09:17:35.479354,46.211.12.26,"A slow, but prone to perfectionism person. Responsible for work, but not discipline. Creative and proactive."
63,383474817,2024-03-25 17:41:36.475441,46.211.224.40,under general
64,441718837,2024-03-27 21:45:42.041329,37.54.112.140,"I am a self-sufficient person, I love my work and I look forward to leaving the maternity leave, but nevertheless I want to earn extra and as soon as I have free time I try to find ways to do this, and I also try to find an opportunity to become independent and earn without leaving home, but by working online"
65,443761615,2024-04-10 17:24:34.066406,0.0.0.0,
66,5615217410,2024-04-17 04:16:44.327036,0.0.0.0,
67,518150377,2024-04-17 06:33:01.034187,185.208.231.48,"Hello, I'm Tatyana. I have been working as a hairdresser and stylist for more than 3 years, I really like this profession. I like active recreation"
68,166991293,2024-04-16 23:06:17.003698,94.43.98.27,2
70,5036199245,2024-04-16 09:13:41.767117,88.155.66.129,"Good, responsible, honest"
71,437588791,2024-04-10 17:25:44.417754,178.213.187.201,A patriotically conscious person
72,467731476,2024-03-18 12:25:05.330296,5.58.115.166,"I consider myself quite focused and calm, able to make balanced decisions, self-confident, have a high level of erudition and know how to use information to communicate with people, able to be persuasive"
73,561088889,2024-04-10 07:56:44.466268,194.44.89.254,"I love science. psychology, work as a teacher.
I travel a lot, I like to eat a variety of food, I like movies, music.
I am interested in fashion, photography, I read a lot."
74,625074842,2024-03-20 11:16:40.779406,46.229.58.24,"I am Ukrainian, mother, daughter! I am conscientious about my work, I seek additional income in addition to my main job, I constantly develop my professional skills in order to have a greater value in the labor market."
75,303263127,2024-04-17 04:45:15.230133,0.0.0.0,
76,624123131,2024-03-22 14:12:34.209027,2a02:2378:1045:73f5:dcd5:1a:e957:109a,"She worked as a waiter for a very long time, and also has the ability to work in the kitchen as a cook!"
77,808086550,2024-04-12 09:26:46.030671,185.128.235.71,"I like to work, I like people and animals, nature. I love to read and knit."
78,5235017959,2024-04-17 06:50:07.369635,89.209.4.137,"Sociable, hardworking. Responsible"
79,1003252628,2024-04-13 03:37:33.050065,195.3.128.202,"Purposeful, I like to achieve the goal. I am learning new things. Responsible"
80,392288419,2024-04-12 04:47:37.622730,195.8.40.215,"I like to draw since childhood. I was looking for work and studies related to this. I studied to be a designer, but it did not appeal to me, and I went into the field of manicure. I really like to spend time in nature, outside the city"
81,457145032,2024-03-19 18:43:28.112684,176.120.105.32,I treat my work responsibly and seriously.
82,457899705,2024-03-29 07:50:05.079145,192.162.197.121,"I love psychology, understanding people and helping and supporting them. As a hobby, I like to knit, embroider with beads, make jewelry from beads, sew things, sometimes draw, dance. I used to be the head of the department at Pharm.corporation, I have a degree in chemistry, which often helps me in life, but I left her because of a mismatch of values, so now I am on the way to study to fulfill my mission - to make Ukraine the most comfortable country to live in"
83,624063967,2024-03-13 14:57:45.839960,31.144.169.229,I like to work and I like to earn money more
84,625261421,2024-03-28 12:06:22.157460,188.163.60.108,"I am passionate about nature, scientific research and have a curiosity about the future. I think that polls can change the world and I am always ready to participate. A lover of cinema, the world of fashion, music and sports, I find inspiration in the diversity and beauty of the surrounding world and people."
85,1064997456,2024-03-24 09:23:19.128285,46.219.227.111,"Mom is on maternity leave. I take responsibility for my work. I like to work and earn money. I love to play table tennis and make tiktok videos. I like to read books, listen to music, dance."
86,6952435497,2024-03-19 18:05:52.091500,31.144.81.253,"Go to theaters, museums, draw, beauty salons"
87,879574059,2024-04-11 10:26:06.636222,37.73.22.217,In my free time I am creative
88,126012521,2024-03-18 13:04:25.044986,82.193.110.54,"I am hardworking, I like to do various activities. From time to time I like to switch between activities, so I have many hobbies that I do in turn"
89,1075213444,2024-04-12 09:32:03.834063,31.28.169.21,"I like to read books, cook, learn something new"
90,400850852,2024-03-19 19:36:02.653687,46.211.246.165,"I want more payment for work. I am a normal person. Cheerful, sometimes sad. I like to dream"
91,440228514,2024-03-18 14:04:49.164888,193.194.107.75,I like to try something new
92,603773327,2024-04-10 17:40:03.968580,46.211.111.225,"Currently a housewife. In the past, a successful cosmetologist, I had to leave my job because I moved to live in another city. I like to cook, read books, take active walks in the fresh air, am interested in growing plants, and love animals."
93,5356006820,2024-04-17 07:24:20.182786,188.163.113.201,Ass
94,503751320,2024-03-19 19:55:08.501839,37.73.200.73,"responsibility, sincerity, charity"
95,534592261,2024-03-19 20:03:27.314479,176.37.120.216,Meaningless input
96,584379792,2024-04-12 04:49:21.781755,5.58.176.161,I don't want to share anything
97,627392725,2024-03-15 17:38:51.556955,185.96.188.42,"I am a versatile person. In addition to physical work, I work online, I also knit blankets, embroider with beads, I like to read books"
98,806265753,2024-04-13 03:52:43.554393,93.170.66.183,"I am a woman who loves her family, so I cook everything delicious. I read books in my free time. At work, I am characterized as a responsible, communicative person."
99,1206804054,2024-03-07 14:17:57.667507,193.194.126.150,"Introvert, quiet, calm person, likes to rest, listen to music"
100,1207056300,2024-03-07 14:16:27.297935,2001:67c:198c:906:14::1e9,"I study, I go to the gym, I like computer games"
101,1208576470,2024-03-07 15:19:14.029568,178.151.224.190,"I am a housewife, raising a 5-year-old daughter.
I want to work online in my free time from raising my daughter"
102,1479318734,2024-04-16 09:55:28.908150,88.155.203.199,"Responsible, friendly, attentive, positive, competent"
103,392338937,2024-03-18 14:15:55.828091,128.124.233.145,I'm introverted and serious person. I prefer reading on leisure time.
104,1214670538,2024-03-17 19:07:01.319486,146.120.222.196,Pretty girl
105,1222026286,2024-03-11 16:48:57.165960,31.128.68.152,Responsible
106,594031988,2024-04-17 05:01:31.145881,91.235.226.183,I don't even know what to write here
109,962805023,2024-04-10 18:08:55.477090,37.73.225.4,I love my family and my profession
111,332356894,2024-03-18 14:04:54.479235,92.249.93.130,Hisg profience man
112,431235169,2024-03-18 14:05:34.442824,46.211.121.239,A responsible person with a heightened sense of justice
113,627511904,2024-02-14 21:37:37.001682,92.253.212.151,Meaningless input
114,628742247,2024-03-19 11:34:27.324075,188.163.16.228,"I can tell a little about myself. I love to learn something new. And if it interests me enough, then I am ready to spend whole days on it. Among my hobbies, I can list video editing, creating music and a little 3D modeling. I am very satisfied with my work, I don't need to sit somewhere all day, I can do everything at home in 2-3 hours and rest"
115,6929765136,2024-03-11 17:56:44.120374,188.163.113.21,"I'm sociable, cheerful, positive and moderately inquisitive"
116,677219354,2024-04-11 10:29:35.880143,46.33.39.77,"I am a good, responsible person."
117,373020054,2024-04-10 18:12:43.474767,88.155.84.226,Meaningless input
118,1227461190,2024-02-18 08:03:57.327693,95.46.155.212,"I adore creativity, I am engaged in music and needlework
I also like to travel and learn the history of various sights of the country"
119,1230729999,2024-03-03 13:20:24.951077,37.53.207.173,"I love nature, fishing"
120,1122399550,2024-04-17 05:09:47.726402,94.153.134.142,"Hardworking, attentive, responsible"
121,865654491,2024-02-27 09:49:21.670125,188.163.18.144,I am a purposeful person. I always reach my goal. I try to constantly develop.
122,697062515,2024-04-12 05:05:43.653419,93.127.121.1,"I like to prepare cold snacks.
It is best for me to work in a team of 3-5 people."
123,451759492,2024-04-12 09:37:14.761295,0.0.0.0,
124,629224269,2024-02-24 11:57:57.279918,88.155.213.212,"The person is interested in professional development, I am constantly on the path of self-improvement. I like to travel and watch movies. I prefer solitude to loud companies."
125,6616043199,2024-04-17 10:35:10.973578,178.158.220.90,beautiful person
126,802100082,2024-04-13 04:09:19.572406,46.211.147.186,"I am Khrystinka, and therefore life for me is not a ghost or a meaningless time. For me, these are steps towards Heaven."
127,5246326139,2024-04-16 10:30:24.939125,194.9.14.54,"An ordinary person, hoping for the best"
128,883584547,2024-04-17 05:19:45.435406,185.120.133.185,"Responsible, serious, like to help"
130,5856661,2024-04-17 08:08:41.840015,176.111.187.84,Meaningless input
131,629478497,2024-03-13 17:00:23.069740,95.135.47.222,"I am a responsible person, I clearly and professionally approach the task at hand! I like working on the Internet. Because it gives me the ability to be anywhere in the world"
132,1252293230,2024-03-12 17:19:26.071206,62.16.13.40,"I am very happy when everything works out for me as planned.
I get upset when people around me don't appreciate me. I'm glad they help me."
133,285285936,2024-04-10 18:18:07.499046,94.244.34.251,I am an ordinary person
134,1253688721,2024-01-17 15:36:16.786442,93.170.217.225,I like to work
135,300886827,2024-04-10 08:52:06.080244,0.0.0.0,"I like to read, walk in the mountains, knit. I am studying the field of design"
136,465481593,2024-03-20 06:49:40.475113,46.98.146.59,Don't want
137,495889484,2024-02-12 09:38:16.774041,109.172.155.125,guvjvug
138,498958177,2024-03-19 20:22:28.243953,188.163.9.170,"I'm a beginner blogger, filming about my life"
139,587872202,2024-04-12 05:07:36.077044,79.140.0.116,"I love creative work, cinema, sports, music"
140,2087492419,2024-04-13 04:16:05.111234,46.211.75.148,An average citizen
141,6116403499,2024-04-16 10:54:28.869873,176.102.33.238,"Responsibility and attentiveness, gardening"
143,695406513,2024-04-11 10:55:42.099538,188.163.59.87,"Hard work, dedication, focus"
144,737947710,2024-04-10 09:25:21.744742,62.16.21.194,"I am very introverted and value my time alone, I am afraid of my mother's criticism, in the process of getting out of a long depression, I cry from any criticism (even if I understand that it is constructive), I have compulsive overeating, I have tried to lose weight all my life, I can easily get involved in any activity and abruptly abandon it even after several years.
I like knitting, makeup, cartoons, karaoke, reading comics/books, strawberry print, capri candy. I was engaged in drawing for 10 years, but then I gave up and now I draw very rarely.
Feminist, I support and am part of LGBTQ+, childfree.
The oldest child in a family of 6 children, 2 of whom I am, in fact, a mother.
Currently, I am studying in the 4th year of the university"
145,540829395,2024-04-10 18:31:33.687075,77.111.247.63,"One of my traits is that I hate being asked to write about myself. I don't know what they want to hear from me and I'm lost. I am a composer, I love music and creating it. I don't know if anyone will read this survey, but if they do - find me on YOUTUBE - Geneviève Stronska. My music is there, maybe someone will like it and be inspired."
146,6185151406,2024-04-17 08:39:17.094576,91.243.31.13,Meaningless input
147,809484858,2024-04-12 09:42:56.752261,176.111.42.7,I love my work
148,818802914,2024-04-13 04:35:41.100850,188.163.122.153,A paranoid idealist who tries to bring some works of chain stores to an ideal level.
149,866264542,2024-03-15 11:45:18.812724,2a02:a314:853c:6180:78da:978b:fec0:7ca4,"Purposeful, I quickly learn new things. Open to new knowledge. Responsible."
150,982876186,2024-04-16 10:58:35.110234,46.118.118.174,"Punctual, responsible"
151,1338730173,2024-04-10 09:44:36.892142,37.73.201.9,I take responsibility for my duties
152,256749148,2024-03-19 21:51:40.421433,188.163.74.58,"I am creative, fiery and risky, I like to create something new and support existing ideas that are interesting to me, I sing and make holidays, because without music and holidays I am not me :)"
153,571501705,2024-03-18 15:10:29.944635,37.73.1.4,Medicine
154,1282618682,2024-03-13 17:55:38.161514,193.151.14.71,I love my job
155,1285611322,2024-03-11 23:10:16.159428,37.229.24.8,I have a good attitude towards work. In my free time I enjoy music.
156,1378471170,2024-03-07 14:32:39.995759,62.221.37.235,I'm inquisitive
157,527781253,2024-04-15 10:08:17.927396,88.155.145.21,A responsible person who wants to develop
158,631887762,2024-03-07 14:34:53.672588,5.1.10.101,"I like to be creative. Draw, photograph, process photos. Come up with product design. I like to travel, visit interesting places."
159,855049723,2024-04-10 18:34:15.823583,188.163.99.107,I am constantly looking for a balance between work and family. There is always not enough time for rest
160,1274523468,2024-03-07 14:31:21.720735,178.133.108.15,"I'm shy, I've never worked anywhere because I have a disability, so I grab onto these platforms. Money is needed"
161,1286187066,2024-03-08 16:16:16.405365,5.248.22.67,I love my work
162,1287525195,2024-03-13 08:42:48.884545,5.58.25.167,I am a creative person
163,1195219903,2024-03-21 18:35:09.298275,212.86.122.81,"Responsible, hardworking"
164,622616111,2024-04-16 11:09:46.127511,91.236.99.188,Life is a joyful person
165,654674518,2024-04-04 22:05:10.634752,2a02:2378:1293:3747:318c:993b:6b00:a054,"I am cheerful, cheerful. I like to sing, I play the guitar, I have an education as a seamstress.
I am currently on maternity leave, expecting a baby, so I want to do something useful at home, or rather on the phone. I've probably hung up on my phone the most in recent months"
166,549152921,2024-04-10 10:05:20.315353,89.209.185.96,"Responsible, punctual, decisive"
168,764657055,2024-04-15 10:14:20.489388,0.0.0.0,
169,790581613,2024-04-13 05:02:26.249973,193.109.145.156,Simple
170,1289341028,2024-03-07 14:26:01.435457,176.105.216.112,I did not understand the question due to an incorrect translation
171,407128046,2024-04-15 10:14:32.274553,185.183.95.136,Travels Faith. volunteering
172,546013064,2024-04-10 10:08:24.997445,31.144.129.0,"I like my job, I like sports, animals, being useful and helping people"
173,582472454,2024-04-12 06:05:23.044141,178.210.131.34,"I work as an outreach worker for a humanitarian organization, and I also have experience working for another humanitarian organization as an enumerator. My responsibilities included data collection and analysis, so I am closely involved in research and take it responsibly. In addition, I am a psychologist by education. When the full-scale invasion began, I was forced to move from Kharkiv to Lviv."
174,569977581,2024-04-16 11:14:27.473371,45.90.176.186,"Cheerful, responsible"
175,635707481,2024-03-19 12:15:12.976363,193.160.227.233,Mom is on maternity leave
176,636051512,2024-03-06 17:49:13.285498,46.211.234.140,"Volunteer, I love extreme sports"
178,926643461,2024-04-10 18:50:35.136138,62.122.202.63,I'm shocked
179,1158828699,2024-04-11 11:40:54.886708,46.211.69.113,I love my work
181,758576651,2024-04-17 09:23:15.500927,2a02:ab04:3148:b700:7c25:5533:cbd4:dd53,"I am hardworking, purposeful, decent, very responsible and diligent. I can learn and I like it"
182,1308574592,2024-03-07 15:52:54.018107,46.98.148.183,"Purposeful, persistent, analytical mindset, responsible
I like to read, learn new things, I like to watch videos on historical topics"
183,1309499953,2024-03-07 14:21:08.783798,93.171.246.25,"Responsible, but trusting, pragmatic."
184,636445706,2024-03-13 14:54:01.491621,95.135.79.179,"I adore taking care of plants, helping people and children and taking care of them"
185,666324142,2024-04-15 10:32:04.484272,178.54.62.14,Meaningless input
186,262386131,2024-04-16 11:18:25.045844,0.0.0.0,
187,1176425222,2024-04-17 09:27:19.308678,37.73.193.255,"I am responsible, purposeful, kind, polite and communicative. I love life and my family. I work in the police, but since I am currently on maternity leave, I try to use every opportunity to realize myself in other areas. I don't like to spend time pointlessly. I live in a private house, I love to garden, cook, read and take pictures, I do my physical fitness."
188,634467587,2024-04-10 10:47:25.990068,31.144.125.255,I like to travel
189,542363714,2024-04-11 11:40:56.527751,2a09:bac3:5864:2dc::49:158,I want to earn more money thanks to your surveys
190,684229208,2024-04-12 10:10:12.578361,193.37.193.15,"I love creativity, reading, traveling, esthete, innate literacy"
191,1317344255,2024-03-04 19:01:24.435752,194.44.179.228,Meaningless input
192,1319684066,2024-03-05 13:18:20.023865,37.139.188.97,"Read, count, write, analyze"
193,312071063,2024-04-13 05:11:44.927913,0.0.0.0,
194,693047692,2024-04-10 18:59:29.183129,94.45.105.81,"Purposeful and responsible person. I like to work when it brings satisfaction for money. In my free time, I am looking for different methods of earning."
195,871580911,2024-04-12 06:06:59.399675,193.194.109.18,Like reading. I have a high level of intelligence. I work honestly. And modesty also adorns me)
196,785536780,2024-04-11 12:10:34.857807,31.42.182.66,An active person in any field of activity
197,664963340,2024-04-12 06:42:08.028783,78.26.199.28,"I take a responsible approach to work, I have extensive experience in implementing projects, writing grant applications, creating a strategic plan, etc."
198,542317063,2024-03-17 09:39:10.219390,95.135.20.211,"I really like reading books, walking with friends, drawing. I also like to communicate with people, which is why I work in the field of sales. Currently, I am a senior manager, because I always perform my work qualitatively, on time and responsibly"
199,583402659,2024-03-19 23:08:36.897628,176.38.37.187,"I am interested in new things, read a lot, go for walks, do sports"
200,636458398,2024-03-21 11:12:11.066130,188.163.32.243,"The young man is 24 years old, his favorite activities are running, sports complexes (HIIT), table tennis, skating, bike rides. He is a volunteer of ""Yellow Apron"", which distributes food to the needy. Volunteer, participant, co-organizer of runs every Saturday RunDay (everyrun.world), not indifferent to ecology, sort garbage. I adore a human smile)😅"
201,896478408,2024-04-15 11:12:03.534064,46.150.75.47,"An energetic person, creative, I feel bad without communication, I like physical activity. At work, I like to do everything clearly and in a timely manner. In my free time, I cook, run, love stylishly and brightly
to reach out"
202,636528552,2024-03-17 15:38:30.371067,77.122.8.165,Prepare. Eat
203,636936065,2024-02-24 18:52:09.962341,178.251.109.239,"A person with a sense of humor, who wants to become a developer since the 1st year)) Hobbies: playing tennis, assembling computers or other electronics. I believe that life is too short to postpone everything for later and pay attention to the surrounding circumstances)"
204,6459134351,2024-02-27 08:13:02.694387,176.39.54.43,"I am a positive optimist, I believe in what I do"
205,784415393,2024-04-17 09:49:32.945491,188.231.220.119,"Responsible and punctual person. I treat work with the same responsibility. I like to study. Get new knowledge. I am okay with criticism, because I strive for self-improvement and development. I love any work with people. It gives me pleasure"
206,1338932159,2024-03-07 14:15:40.866526,176.110.103.196,"I am very hardworking, I like to develop, I like to fulfill all my wishes, I like to earn money on the Internet, sometimes on websites."
207,408410768,2024-04-13 05:27:13.114167,79.135.221.144,I love nature
208,629430834,2024-04-12 10:29:42.395690,188.163.34.181,"I love to travel, develop myself, improve my skills, learn foreign languages. I'm quite active, but I don't have a favorite sport. I like to swim in the summer, I like to walk. I have no serious health problems, but I do have allergies that make my life difficult in the spring. I always take my responsibilities seriously, so at school I was the class leader. I love animals and I have pets."
209,636880518,2024-03-18 15:45:03.300711,91.196.55.156,I love sports and science. Interested in everything related to a healthy lifestyle and longevity.
210,636980072,2024-03-06 20:22:47.496753,188.163.26.212,Ordinary person
211,638239960,2024-04-10 19:00:40.191456,46.149.186.0,"Everything is fine, I work at home and think about where to earn money."
212,5967274273,2024-03-03 20:56:26.217782,88.155.201.120,This is too much for you
214,1348346917,2024-03-08 06:48:37.856128,46.211.82.34,I love everything that surrounds me.
215,639082358,2024-03-04 18:09:11.515913,178.150.235.39,I do not want to answer
216,1350400951,2024-03-06 18:47:47.686507,31.128.76.89,I treat my work and responsibilities very carefully and responsibly
217,811499085,2024-04-17 09:55:12.617192,2a02:2378:1270:ae1a:259f:d145:9558:41f,"A charismatic, goal-oriented woman who strives to develop and at the same time be able to create comfort for the family"
218,1348191679,2024-03-07 15:53:08.690318,217.115.99.70,"A music teacher, I work with children...
I like to cook"
219,416158471,2024-04-12 06:50:44.848824,188.163.68.91,"If I'm interested in something, I can do it all day and not lose concentration, I can do routine activities for a long time, I don't get bored"
220,419064636,2024-04-15 11:27:50.148300,185.96.188.37,"I am purposeful, neat, details are important to me."
221,637359605,2024-03-07 15:59:56.360799,46.211.229.213,"Mother of two children. A specialist in his work with many years of experience. In my free time, I work as a freelancer and take part in surveys. I do sports. I watch my diet."
222,1349434825,2024-03-07 14:22:29.549963,188.163.10.167,"I like to be responsible, I adore any decorative and applied art"
223,1878184267,2024-04-12 06:54:10.101545,92.60.179.172,"I try to do at least one good deed every day, at least one good deed."
224,664362781,2024-04-15 11:28:32.327825,176.39.34.148,I am a person who loves improvement
225,38360,2023-12-17 11:35:03.620461,0.0.0.0,Bb
226,106074905,2024-03-06 09:52:29.907376,128.124.97.126,"Responsible, I love my job"
227,179376382,2023-12-20 13:01:12.709010,0.0.0.0,Meaningless input
229,582840890,2024-04-05 11:08:29.989535,46.211.96.70,"My name is Anastasia, I work as a teacher. I love children and my work"
230,1381295105,2024-03-03 18:37:27.948474,188.163.13.73,"Adequate, educated"
231,202223263,2023-12-18 23:36:54.536116,31.144.160.37,thank you
232,346127383,2024-03-06 13:24:34.063991,95.67.125.175,"I love my life, my family and my people, my partner. I adore animals. I love new experiences and can't help but bring something new into my life"
233,502489630,2024-03-21 06:13:15.096831,0.0.0.0,
234,1381406514,2024-02-28 19:23:02.847587,192.162.235.142,I love my children and my work
235,1382094077,2024-03-20 14:54:51.588936,176.241.148.165,"I like to knit, spent a lot of time with children"
236,1385526697,2024-03-21 14:05:47.677452,2a02:2378:11e6:1a59::1,"I like to do sports, cook and spend a lot of time in nature. I love the sea!!!"
237,560195426,2024-02-28 00:20:03.967716,0.0.0.0,
238,1389149388,2024-04-10 20:07:36.548635,178.74.205.38,dick
239,753264809,2024-04-13 05:51:30.827427,46.33.33.75,"I am studying to become a psychologist, I sell real estate. I like to write poems, cook and do cycling. I am fond of writing scientific papers and reading."
